997267.511	845904.656	883.316
997268.669	845883.024	881.569
997268.679	845883.015	881.575
997269.790	845867.605	881.135
997272.245	845851.840	882.121
997269.980	845838.022	883.375
997270.286	845817.955	884.985
997270.101	845801.097	886.230
997272.125	845787.630	886.580
997274.025	845775.851	887.388
997277.348	845762.234	888.170
997279.384	845750.657	888.863
997279.394	845750.693	888.887
997280.276	845745.504	889.260
997272.895	845746.856	890.152
997261.989	845752.687	891.100
997267.645	845734.434	892.027
997256.040	845741.561	892.801
997244.813	845748.257	893.635
997244.820	845748.254	893.629
997247.873	845752.699	893.715
997250.613	845754.634	892.639
997235.499	845753.638	894.311
997233.781	845761.226	894.815
997231.078	845766.333	894.254
997220.507	845763.003	895.513
997218.449	845771.052	895.990
997219.522	845774.388	894.605
997200.513	845775.313	897.191
997198.143	845783.771	897.597
997198.494	845786.732	896.655
997183.261	845784.595	898.555
997184.029	845790.761	898.831
997184.179	845794.086	897.703
997165.080	845791.272	899.926
997160.117	845798.665	900.593
997158.495	845802.220	899.771
997140.516	845794.003	901.542
997138.624	845800.402	902.012
997137.701	845802.858	901.149
997124.186	845793.511	902.656
997120.789	845799.565	903.081
997119.295	845801.584	902.404
997106.388	845792.299	904.087
997100.029	845798.189	904.619
997098.887	845801.041	903.875
997084.209	845790.602	905.676
997078.979	845796.286	906.057
997078.411	845798.433	905.382
997062.709	845788.889	907.090
997057.944	845794.280	907.439
997056.876	845797.028	906.764
997038.480	845786.730	908.298
997034.985	845792.503	908.590
997034.363	845794.819	907.826
997018.946	845785.028	909.212
997006.241	845789.958	909.989
997004.931	845793.731	908.737
996996.875	845782.507	910.346
996995.040	845788.408	910.576
996994.274	845794.868	909.397
996989.880	845794.334	909.898
996985.296	845779.470	910.881
996980.921	845786.882	911.289
996982.083	845805.120	911.097
996986.558	845827.899	911.027
996992.212	845844.785	910.976
997000.090	845858.818	911.058
997012.422	845871.045	910.524
997029.352	845880.355	909.603
997073.034	845877.020	906.525
997070.032	845892.572	906.914
997083.570	845895.083	906.213
997110.549	845897.477	904.253
997131.486	845901.465	902.533
997150.093	845907.097	900.589
997172.458	845912.349	898.609
997191.772	845917.181	896.626
997191.787	845917.187	896.618
997218.904	845925.685	893.140
997227.160	845931.785	891.916
997227.184	845931.799	891.893
997233.224	845927.625	890.708
997245.302	845925.344	888.625
997254.508	845921.954	886.625
